tabela,coluna,tipo,dominio
employees,photo,string,"Exemplos: ['0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D16540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000', '0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000020540000424D20540000000000007600000028000000C0000000DF0000000100040000000000A0530000CE0E0000D80E0000000000', '0x151C2F00020000000D000E0014002100FFFFFFFF4269746D617020496D616765005061696E742E506963747572650001050000020000000700000050427275736800000000000000000080540000424D80540000000000007600000028000000C0000000E0000000010004000000000000540000CE0E0000D80E0000000000']"
employees,notes,string,"Exemplos: ['Margaret holds a BA in English literature from Concordia College (1958) and an MA from the American Institute of Culinary Arts (1966).  She was assigned to the London office temporarily from July through November 1992.', 'Laura received a BA in psychology from the University of Washington.  She has also completed a course in business French.  She reads and writes French.', 'Anne has a BA degree in English from St. Lawrence College.  She is fluent in French and German.', 'Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree in 1976.  Upon joining the company as a sales representative in 1992, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent po', '""Michael is a graduate of Sussex University (MA, economics, 1983) and the University of California at Los Angeles (MBA, marketing, 1986).  He has also taken the courses """"Multi-Cultural Selling"""" and """"Time Management for the Sales Professional.""""  He is fluent""', 'Janet has a BS degree in chemistry from Boston College (1984).  She has also completed a certificate program in food retailing management.  Janet was hired as a sales associate in 1991 and promoted to sales representative in February 1992.', 'Andrew received his BTS commercial in 1974 and a Ph.D. in international marketing from the University of Dallas in 1981.  He is fluent in French and Italian and reads German.  He joined the company as a sales representative, was promoted to sales manager i', '""Robert King served in the Peace Corps and traveled extensively before completing his degree in English at the University of Michigan in 1992, the year he joined the company.  After completing a course entitled """"Selling in Europe', '""Education includes a BA in psychology from Colorado State University in 1970.  She also completed """"The Art of the Cold Call.""""  Nancy is a member of Toastmasters International.""']"
employees,reportsTo,string,"Exemplos: ['5', '"""" he was transferred to the""', '2', 'NULL']"
employees,photoPath,string,"Exemplos: ['http://accweb/emmployees/peacock.bmp', 'http://accweb/emmployees/buchanan.bmp', '5', 'http://accweb/emmployees/leverling.bmp', 'http://accweb/emmployees/fuller.bmp', 'http://accweb/emmployees/davolio.bmp']"
employees,data_ingestao,date,"Data Mín: 2025-04-11, Data Máx: 2025-04-11"
employee_territories,employee_id,int,"Mín: 1, Máx: 9"
employee_territories,territory_id,int,"Mín: 1581, Máx: 98104"
employee_territories,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
order_details,order_id,int,"Mín: 10248, Máx: 11077"
order_details,product_id,int,"Mín: 1, Máx: 77"
order_details,unit_price,double,"Mín: 2.0, Máx: 263.5"
order_details,quantity,int,"Mín: 1, Máx: 130"
order_details,discount,double,"Mín: 0.0, Máx: 0.25"
order_details,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
orders,order_id,int,"Mín: 10248, Máx: 11077"
orders,customer_id,string,"Exemplos: ['WOLZA', 'MAISD', 'BLAUS', 'MAGAA', 'FOLKO', 'ANATR', 'ISLAT', 'VAFFE', 'CENTC', 'BLONP']"
orders,employee_id,int,"Mín: 1, Máx: 9"
orders,order_date,date,"Data Mín: 1996-07-04, Data Máx: 1998-05-06"
orders,required_date,date,"Data Mín: 1996-07-24, Data Máx: 1998-06-11"
orders,shippedDate,string,"Exemplos: ['1997-08-05 00:00:00.000', '1997-12-23 00:00:00.000', '1997-06-24 00:00:00.000', '1997-12-24 00:00:00.000', '1998-02-13 00:00:00.000', '1997-04-24 00:00:00.000', '1997-05-14 00:00:00.000', '1996-07-11 00:00:00.000', '1998-04-09 00:00:00.000', '1997-01-08 00:00:00.000']"
orders,shipVia,int,"Mín: 1, Máx: 3"
orders,freight,double,"Mín: 0.02, Máx: 1007.64"
orders,shipName,string,"Exemplos: ['Princesa Isabel Vinhos', 'HILARION-Abastos', 'Antonio Moreno Taquería', ""Bon app'"", ""La corne d'abondance"", 'Magazzini Alimentari Riuniti', 'Reggiani Caseifici', 'Vaffeljernet', 'Split Rail Beer & Ale', 'Ricardo Adocicados']"
orders,shipAddress,string,"Exemplos: ['1029 - 12th Ave. S.', 'Ave. 5 de Mayo Porlamar', 'Avda. Azteca 123', '90 Wadhurst Rd.', 'Mehrheimerstr. 369', '54', 'Av. dos Lusíadas', 'Luisenstr. 48', 'Erling Skakkes gate 78', 'Strada Provinciale 124']"
orders,shipCity,string,"Exemplos: [' 891', 'Salzburg', 'San Cristóbal', 'Anchorage', 'Århus', ' 23', 'Cunewalde', ' 12', 'México D.F.', 'Bern']"
orders,shipRegion,string,"Exemplos: ['Madrid', 'Québec', 'OR', 'Versailles', 'Lille', 'Nantes', 'Marseille', 'WY', 'BC', 'ID']"
orders,shipPostalCode,string,"Exemplos: ['4980', 'WX1 6LT', '44087', '14776', '87110', '59801', '5022', '05033', '05021', '97201']"
orders,shipCountry,string,"Exemplos: ['Sweden', 'Germany', 'B-6000', '67000', '28001', 'France', '41101', 'Argentina', 'Belgium', '44000']"
orders,data_ingestao,date,"Data Mín: 2025-04-11, Data Máx: 2025-04-11"
products,product_id,int,"Mín: 1, Máx: 77"
products,product_name,string,"Exemplos: ['Gorgonzola Telino', 'Guaraná Fantástica', 'Chocolade', 'Filo Mix', 'Longlife Tofu', 'Wimmers gute Semmelknödel', 'Rhönbräu Klosterbier', 'Chang', 'Tourtière', 'Vegie-spread']"
products,supplier_id,int,"Mín: 1, Máx: 29"
products,category_id,int,"Mín: 1, Máx: 8"
products,quantity_per_unit,string,"Exemplos: ['16 pies', '24 - 150 g jars', '10 boxes x 8 pieces', '24 - 250 ml bottles', '32 - 1 kg pkgs.', '40 - 100 g pkgs.', '24 - 8 oz jars', '48 pies', '32 - 8 oz bottles', '12 - 550 ml bottles']"
products,unit_price,double,"Mín: 2.5, Máx: 263.5"
products,units_in_stock,int,"Mín: 0, Máx: 125"
products,units_on_order,int,"Mín: 0, Máx: 100"
products,reorder_level,int,"Mín: 0, Máx: 30"
products,discontinued,int,"Mín: 0, Máx: 1"
products,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
regions,region_id,int,"Mín: 1, Máx: 4"
regions,region_description,string,"Exemplos: ['Southern', 'Eastern', 'Northern', 'Western']"
regions,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
shippers,shipper_id,int,"Mín: 1, Máx: 3"
shippers,shipper_name,string,"Exemplos: ['Federal Shipping', 'United Package', 'Speedy Express']"
shippers,phone,string,"Exemplos: ['(503) 555-3199', '(503) 555-9931', '(503) 555-9831']"
shippers,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
suppliers,supplier_id,int,"Mín: 1, Máx: 29"
suppliers,supplier_name,string,"Exemplos: ['PB Knäckebröd AB', 'Pavlova, Ltd.', 'Norske Meierier', ""G'day, Mate"", 'Ma Maison', 'Nord-Ost-Fisch Handelsgesellschaft mbH', 'Specialty Biscuits, Ltd.', 'Refrescos Americanas LTDA', 'Bigfoot Breweries', 'Aux joyeux ecclésiastiques']"
suppliers,contact_name,string,"Exemplos: ['Eliane Noz', 'Chantal Goulet', 'Regina Murphy', 'Peter Wilson', 'Dirk Luchte', 'Beate Vileid', 'Yoshi Nagase', 'Wendy Mackenzie', 'Mayumi Ohno', 'Robb Merchant']"
suppliers,contact_title,string,"Exemplos: ['Regional Account Rep.', 'Marketing Manager', 'Export Administrator', 'Sales Representative', 'Accounting Manager', 'Order Administrator', 'Purchasing Manager', 'Marketing Representative', 'Sales Manager', 'Coordinator Foreign Markets']"
suppliers,address,string,"Exemplos: ['Verkoop Rijnweg 22', 'P.O. Box 78934', '3400 - 8th Avenue Suite 210', 'Frahmredder 112a', 'Kaloadagatan 13', 'Lyngbysild Fiskebakken 10', 'Valtakatu 12', 'Tiergartenstraße 5', '9-8 Sekimai Musashino-shi', '471 Serangoon Loop, Suite #402']"
suppliers,city,string,"Exemplos: ['Cuxhaven', 'Göteborg', 'Singapore', 'Manchester', 'Frankfurt', 'Bend', 'Stockholm', 'Berlin', 'Ste-Hyacinthe', 'London']"
suppliers,region,string,"Exemplos: ['LA', 'Asturias', 'Québec', 'OR', 'Victoria', 'MI', 'MA', 'NULL', 'NSW']"
suppliers,postal_code,string,"Exemplos: ['53120', '3058', 'M14 GSD', '84100', '100', 'H1J 1C3', 'J2S 7S8', '70117', '33007', '60439']"
suppliers,country,string,"Exemplos: ['Sweden', 'Singapore', 'Germany', 'France', 'Finland', 'Italy', 'Norway', 'Spain', 'Denmark', 'USA']"
suppliers,phone,string,"Exemplos: ['(100) 555-4822', '(0544) 60323', '38.76.98.06', '(953) 10956', '85.57.00.07', '(514) 555-2955', '(0)2-953010', '(1) 03.83.00.68', '(514) 555-9022', '(12345) 1212']"
suppliers,fax,string,"Exemplos: ['(1) 03.83.00.62', '(03) 444-6588', '(089) 6547667', '(12345) 1210', '(617) 555-3389', '43844115', '(514) 555-2921', '031-987 65 91', '(02) 555-4873', '(04721) 8714']"
suppliers,homepage,string,"Exemplos: [""G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#"", '#CAJUN.HTM#', ""Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#"", 'Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#', '#FORMAGGI.HTM#', 'NULL']"
suppliers,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
territories,territory_id,int,"Mín: 1581, Máx: 98104"
territories,territory_description,string,"Exemplos: ['Phoenix', 'Savannah', 'Greensboro', 'Dallas', 'Scottsdale', 'Wilton', 'Edison', 'Philadelphia', 'Louisville', 'Cambridge']"
territories,region_id,int,"Mín: 1, Máx: 4"
territories,data_ingestao,date,"Data Mín: 2025-04-12, Data Máx: 2025-04-12"
